basil-seasoning,basil-seasoning
dish-ditergent,dish-ditergent
tongs_utensil,tongs_utensil
dish-towl,dish-towl
whitewinevineger-cap,whitewinevineger-cap
pepper-cap,pepper-cap
container,container
avocado,avocado
knife_utensil,knife_utensil
avocado-gabage,avocado-gabage
whitewinevineger,whitewinevineger
spoon_utensil,spoon_utensil
choppingboard_utensil,choppingboard_utensil
water-tap,water-tap
salt-cap,salt-cap
tomato,tomato
tomato-gabage,tomato-gabage
chopsticks_utensil,chopsticks_utensil
oliveoil,oliveoil
tray,tray
pepper_seasoning,pepper_seasoning
bowl_utensil,bowl_utensil
salt,salt
